0,9239
1,10893
2,11198
3,13545
4,11170
5,11144
6,15297
7,13603
8,14975
9,11776
10,14237
11,15628
12,16830
13,14795
14,18343
15,11190
16,16107
17,15952
18,15993
19,15377
20,17584
21,14649
22,15433
23,17636
24,18865
25,16023
26,17014
27,19468
28,20877
29,19775
30,14592
31,15215
32,13940
33,15509
34,16456
35,16968
36,22043
37,14158
38,17227
39,23360
40,21390
41,18996
42,19461
43,18895
44,32933
45,16061
46,17754
47,19109
48,20040
49,19073
50,29061
51,16541
52,18034
53,21128
54,21180
55,21269
56,17445
57,20550
58,21645
59,23270
60,18458
61,24505
62,20758
63,27689
64,18597
65,20423
66,21172
67,21234
68,28030
69,25170
70,36063
71,18071
72,32228
73,29811
74,22834
75,19803
76,25366
77,19345
78,21014
79,19767
80,23400
81,32832
82,23146
83,19344
84,28681
85,21352
86,23041
87,26692
88,21512
89,28704
90,26570
91,27323
92,33290
93,21878
94,26261
95,25805
96,35461
97,21172
98,68370
99,25878
100,57659
101,2394385
102,25233
103,24159
104,29799
105,31284
106,23787
107,36616
108,28070
109,31872
110,24768
111,29152
112,39783
113,32730
114,20883
115,23919
116,24847
117,69263
118,37104
119,36203
120,24324
121,24996
122,36513
123,31527
124,29061
125,30887
126,23473
127,69989
128,27789
129,29814
130,29226
131,28391
132,40445
133,32101
134,2394385
135,27694
136,34040
137,36261
138,29404
139,2394385
140,31695
141,38431
142,48386
143,31826
144,73063
145,2394385
146,42022
147,47830
148,40283
149,47841
150,97001
151,129992
152,104753
153,96394
154,2394385
155,29460
156,34872
157,39841
158,38897
159,41990
160,43962
161,32206
162,71897
163,49303
164,76923
165,49822
166,36016
167,71032
168,38445
169,2394385
170,2394385
171,2394385
172,1926255
173,568405
174,2394385
175,40252
176,2394385
177,53487
178,2394385
179,35841
180,53168
181,2394385
182,54203
183,564851
184,539143
185,171877
186,58993
187,47056
188,74839
189,74964
190,87166
191,2394385
192,2394385
193,2394385
194,2394385
195,2394385
